actor_eng,actor_kor,gender,birth
Brett Gray,,,
Im Na Young,임나영,1.0,"December 18, 1995"
Kwon Hyun Bin,권현빈,0.0,"March 4, 1997"
Lee Jung Sic,이정식,0.0,"July 6, 1995"
Jang Dong Joo,장동주,0.0,"October 25, 1994"
Lee Hyun Ho,이현호,0.0,"November 4, 1998"
Kim Na Yun,김나윤,1.0,"July 31, 1998"
Ki Do Hoon,기도훈,0.0,"April 5, 1995"
Song Chae Yun,송채윤,1.0,"September 22, 2000"
Kim Eo Jin,김어진,0.0,"October 20, 2001"
Park In Hwan,박인환,0.0,"January 6, 1945"
Kim Kwang Gyu,김광규,0.0,"December 8, 1967"
Kim Hee Chul,김희철,0.0,"July 10, 1983"
Lee Bo Hee,이보희,1.0,"May 25, 1959"
Hong Eun Hee,홍은희,1.0,"February 17, 1980"
Yoon Joo Sang,윤주상,0.0,"June 25, 1949"
Jeon Hye Bin,전혜빈,1.0,"September 27, 1983"
Kim So Hyun,김소현,1.0,"June 4, 1999"
Won Tae Min,원,0.0,"September 16, 1993"
Lee Seung Hyub,이승협,0.0,"October 31, 1992"
Kwon Ji Eun,권지은,1.0,"March 14, 2001"
Song Jae Rim,송재림,0.0,"February 18, 1985"
Cha Min Ji,차민지,1.0,"April 29, 1990"
Hyun Woo,"현우
",0.0,"January 18, 1985"
Kim Geon Ha,김건하,0.0,1992
Lee Joo Young,이주영,1.0,"February 14, 1992"
Moon Jung Hee,문정희,1.0,"January 12, 1976"
Lee Hye In,이혜인,1.0,"November 10, 1995"
Bae Min Jun,배민준,0.0,"June 12, 2006"
Son Jung Hun,손,0.0,"June 22, 1998"
Eum Moon Suk,음문석,0.0,"December 7, 1982"
Lee Re,"이레
",1.0,"March 12, 2006"
Choi Kang Hee,최강희,1.0,"May 5, 1977"
Park Shin Hye,박신혜,1.0,"February 18, 1990"
Lee So Yeon,이소연,1.0,"April 16, 1982"
Choi Yeo Jin,최여진,1.0,"July 27, 1983"
Kyung Sung Hwan,경성환,0.0,"November 2, 1984"
Lee Sang Bo,이상보,0.0,"October 21, 1981"
Shim Eun Woo,심은우,1.0,"June 2, 1992"
Ryu Hwa Young,류화영,1.0,"April 22, 1993"
Ahn Jung Hun,안정훈,0.0,"September 22, 1997"
Ham Ji Soo,함,1.0," Name: Ji Soo
Family Name: Ham
Native name: 함지수
Also Known as: Ham JiSu, Ham Ji Su, Ham JiSoo
Nationality: South Korean"
