Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
143,Once Again,KBS2,['Lee Jae Sang'],['Yang Hee Seung'],2020-03-28,2020-09-13,"Saturday, Sunday",2020,100,21.0,"""Once Again"" is the story of the eventful Song family who can’t get a day of peace and their neighbors in Yongju Market. Frugal father Song Young Dal and nagging mother Jang Ok Boon have been married for many years and have 4 adult children: stuntman Joon Sun, housewife Ga Hee, pediatrician Na Hee, and intern Da Hee.The third child Na Hee works with her fellow pediatrician husband Gyu Jin at the same hospital. They fell in love during their medical school days and got married, but they have since drifted apart and their married life is not doing well. Meanwhile, the first child Joon Sun and second child Ga Hee are both divorcees and have returned to live with their parents, while the youngest child Da Hee is engaged to be married soon.Partway, mysterious kimbap restaurant owner Kang Cho Yeon joins the fray and opens up shop in the Yongju Market. How will her appearance impact the other characters?(Source: AsianWiki)","['Chun Ho Jin', 'Lee Jung Eun', 'Oh Dae Hwan', 'Cha Hwa Yun', 'Lee Min Jung', 'Lee Sang Yeob']",한 번 다녀왔습니다
477,Color Rush,LINE TV Viki ViuTV,,,2020-12-30,2021-01-21,"Wednesday, Thursday",2020,8,112.0,"Monochromatic people (known as 'Mono's) live in a world where they are not able to see colours and therefore view their surroundings through varying shades of grey, black and white. However, every Mono has a fated person (known as 'Probe's) who is able to trigger their grey-scale world into colour, inducing what is termed as a 'Colour Rush'.Yeon Woo is a Mono. He’s aware that other colours do exist but has never experienced them for himself, nor was he interested in doing so. However, Yeon Woo’s life is forever changed when he meets Yoo Han, his Probe, and experiences his first 'Colour Rush'. Terrified that he would be obsessed with Yoo Han because of Yoo Han's ability to make him see colours, Yeon Woo tries to avoid Yoo Han, but why does Yoo Han insist on drawing close to him?(Source: MyDramaList)~~ Adapted from the web novel ""Color Rush"" (컬러 러쉬) by Se Sang (세상).","['Yoo Jun', 'Hur Hyun Jun']",컬러 러쉬
478,A Love So Beautiful,Daum Kakao TV Netflix,,['Jang Yoo Yeon'],2020-12-28,2021-02-20,"Monday, Thursday, Saturday",2020,24,50.0,"Cha Heon is a student at Chun Ji High School who has both good looks and brains. He appears to be a cold character, but he is actually someone with a warm heart who can't express himself well.Shin Sol Yi is a bright and bubbly 17-year-old who has a crush on Cha Heon. She openly confesses her love to Cha Heon constantly. She is a clumsy but lovable character.Woo Dae Sung is a talented swimmer who transfers to Chun Ji High School and falls for Shin Sol Yi. He hides his feelings for her and quietly stays by her side.","['So Ju Yeon', 'Kim Yo Han', 'Yeo Hoe Hyun']",致我们单纯的小美好
479,Star With a Secret,,,,2020-12-27,2020-12-31,"Monday, Tuesday, Wednesday, Thursday, Sunday",2020,5,180.0,"A made -for - web drama about an unusual romance between a Hallyu star and a driven entertainment reporter.He is hiding a big secret- he turns into a little boy after touching a woman. Regular exposure to the public has left him with little choice but to lie to his fans, in order to cover up his situation. The reporter has stopped at nothing in the past to land exclusive celebrity scoops, so it's no wonder she’s the one to uncover the star’s awkward predicament.  Through honest communication, she gains empathy for him, one which allows her to help him heal his heart. Will their encounter make her think twice about reporting her findings on this Hallyu star?(Source: Arirang TV)","['Sung Hoon', 'Hoang Yen Chibi']",수상한 한류스타
480,Can I Step In?,,,,2020-12-23,2021-01-21,"Wednesday, Thursday",2020,10,72.0,"Five males reside in one house, living to their hearts content until a female joins them and they have to learn to adapt to each other. Five different kinds of relationships bloom from then onward.(Source: MyDramaList) ","['Kim Hyo Jin', 'Hwang Bo Reum Byeol', 'J-US', 'E-Tion', 'Wyatt', 'MK']",들어가도될까요
481,Half-Fifty,,,,"Dec 23, 2020","Dec 23, 2020",Wednesday,2020,8,128.0,"'Half-Fifty' is a comedy drama about youth and growth, and the series follows a group of 25-year-olds who end up in the world of YouTubers.(Source: Allkpop) ","['Shin Do Hyun', 'Shin Jae Hwi', 'Kim Kang Min', 'Anne', 'Ji Min Hyuk', 'Kim Jae Hyun']",반오십
482,One Fine Week Season 2,Naver TV Cast vLive,['Kang Dong Hee'],,2020-12-22,2021-01-20,"Tuesday, Wednesday",2020,10,96.0,"Da Eun works part-time, and Kim Byul is an idol. These two girls who look alike decide to change each other's lives just for 7 days. And now, 1 year later, they decided to change one more time because of one event! A special one week is about to start anew.(Source: Kpopmap) ","['Seo Ji Soo', 'Shin Jun Seop']",7일만 로맨스2
483,Lovestruck in the City,Daum Kakao TV Netflix,['Park Shin Woo'],['Jung Hyun Jung'],2020-12-22,2021-02-16,"Tuesday, Friday",2020,17,116.0,"""Lovestruck in the City"" is a realistic portrayal of young people who pursue romance and happiness while struggling to get by in a busy, competitive urban environment. Park Jae Won is an honest man, a passionate architect and a lover of city alleyways. His hobby is collecting new hobbies. A romantic at heart, he cannot forget a certain woman. This thief of his heart, and his camera, has disappeared, much like a fleeting midsummer night’s dream.Lee Eun Oh is an ordinary woman who temporarily re-invents herself as the spontaneous and free-spirited Yun Seon Ah. On a whim, she heads to parts unknown, where Jae Won falls in love with her new identity.(Source: Netflix)","['Ryu Kyung Soo', 'So Ju Yeon', 'Kim Min Seok', 'Han Ji Eun', 'Ji Chang Wook', 'Kim Ji Won']",도시남녀의 사랑법
484,300 Year-Old Class of 2020,Daum Kakao TV Naver TV Cast,,['Hwang Da Seul'],2020-12-21,2020-12-28,"Monday, Wednesday, Friday",2020,6,150.0,"The series is a fantasy comic web drama that tells a story of three students, who were studying in Seowon during the Joseon period accidently time travel and arrive at present-day Seowon in 2020.(Source: Korea Cultural Heritage Administration) ","['Han Se Jin', 'Choi Ji Su', 'Ko Jae Hyun', 'Steve Noh']",삼백살 20학번
485,Secret Royal Inspector,iQiyi KBS2,['Kim Jung Min'],['Park Sung Hoon'],2020-12-21,2021-02-09,"Monday, Tuesday",2020,16,262.0,"Set toward the end of the Joseon era, Sung Yi Gyum places first in the state examination, landing him a position at Hongmungwan in the Administration and Research Department. Despite his recent success, he has no life goals, nor the ambition to realize them, if he did! When caught gambling, Sung Yi Gyum, is punished and assigned to work as a Secret Royal Inspector. He is tasked with uncovering illegal acts and rooting out corruption within the ranks of public officers. He solves cases with the help of fellow inspector Hong Da In, a female colleague and his servant Park Chun Sam, who is talkative, affectionate, and often teary-eyed.Sung Yi Gyum’s family consists of a nobleman father, his stepmother, a slave, and a younger step-brother, Sung Yi Bum. His father won’t accept Yi Bum as his legitimate son due to his mother’s low social status. As a result, Yi Bum is barred from seizing certain opportunities, creating a world of resentment towards his older step-brother, Yi Gyum.(Source: AsianWiki)","['Kim Myung Soo', 'Lee Yi Kyung', 'Kwon Na Ra']",암행어사: 조선비밀수사단
