Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
567,Trap,OCN,['Lee Jae Gyoo'],['Nam Sang Wook'],2019-02-09,2019-03-03,"Saturday, Sunday",2019,7,600.0,"Kang Woo Hyun is a respected anchor at a broadcasting station. He has a lovely family and he is asked to enter the political field. His life seems perfect. One day, he goes on a trip with his family and a tragic situation occurs. Meanwhile, Go Dong Kook is a veteran detective. He takes Kang Woo Hyun's case and investigates.(Source: AsianWiki) ","['Lee Seo Jin', 'Sung Dong Il', 'Im Hwa Young']",트랩
648,LOVE-Imong,,,,2019-12-24,2020-01-28,,2019,6,130.0,,"['Kim Bum Su', 'Yoo Byung Hoon']",연애이몽
649,Wish Woosh Season 2,vLive,,,2019-12-24,2020-01-23,"Tuesday, Thursday",2019,10,78.0,"The drama is centered around Min Ji Woo and her feelings and concerns towards love. She is a hard-working, confident and nearly perfect worker. One day, a new employee joins her workplace and turns her life upside-down. ","['Song Ji Eun', 'Shin Jeong You']",우웅우웅2
650,Genome’s Romance,Kocowa,,['Bang Bong Won'],2019-12-20,2020-01-22,"Friday, Saturday",2019,8,112.0,"Socrates said that a kiss is the greatest thief that steals one's heart. However, for Heung Mi it's different. She hears the sound of an ambulance instead of a heavenly bell whenever she kisses someone due to anaphylactic reactions. Meanwhile, Wan Jeon has a genetic disease that can only be treated through this most peculiar woman. The two of them agree on dating under certain conditions for the sake of treating each other's illnesses. Watch their romantic adventure unfold!(Source: HanCinema)","['Kang Yul', 'Im Do Hwa']",이런 게놈의 로맨스
651,Ghost VRos,tvN,,,2019-12-16,2020-01-02,"Monday, Wednesday",2019,8,75.0,Ghost Vros tells the story of a startup company that exorcises ghosts with VR equipment. Ghost Vros employees will look for ghosts with VR equipment and help vengeful ghosts through counseling. ,"['Kim Woo Seok', 'One']",고스트브로스
652,Black Dog,tvN,['Hwang Joon Hyuk'],['Park Joo Yun'],2019-12-16,2020-02-04,"Monday, Tuesday",2019,16,281.0,"It tells the story of a young woman who gets a short-term teaching position and does her best to fight for students’ dreams in school. The drama will take a deep look into the lives of teachers and provide commentary on society through the microcosm of a school setting.Go Ha Neul is newly appointed to a short-term teaching position at a private school. She dreamed of becoming a teacher because of her gratitude towards one of her own teachers who saved her life, and she will grow with the students as they face the various issues that exist in a cut-throat private school setting. Park Sung Soon, is the head of the career counseling department at the school and a known workaholic. She is well-known as someone who will do whatever it takes for her students and is even willing to visit schools on her students' behalf to fight for them. Bae Myung Soo and Do Yeon Woo, work with Park Sung Soon. Go Ha Neul joins them.","['Ra Mi Ran', 'Lee Chang Hoon', 'Ha Joon', 'Seo Hyun Jin']",블랙독
653,Diary of a Prosecutor,jTBC,['Lee Tae Gon'],"['Park Yeon Sun', 'Lee Hyun', 'Seo Ja Yeon']",2019-12-16,2020-02-11,"Monday, Tuesday",2019,16,244.0,"A drama depicting the mundane daily routine of overworked prosecutors staying up all night to tackle all the different cases handed over by the police.Lee Sun Woong works at the Public Prosecutor’s Office in his local district. On the outside, he looks a bit slow and like he has no ambitions in life, but his inner self is different from what he appears on the outside.Cha Myung Joo is an elite prosecutor, who was rising on the ladder of success at the Central District Prosecutor’s Office before being sent to a branch office.(Source: HanCinema, Soompi)","['Lee Sun Kyun', 'Lee Sung Jae', 'Kim Kwang Gyu', 'Jung Ryeo Won', 'Lee Sang Hee', 'Jeon Sung Woo']",검사내전
654,Queen: Love and War,TV Chosun Viki,['Kim Jung Min'],['Choi Soo Mi'],2019-12-14,2020-02-09,"Saturday, Sunday",2019,16,262.0,"Kang Eun Bo is a woman on a mission. When her twin sister is murdered, she vows to find the killer and bring them to justice.But during the ultra-conservative Joseon Dynasty era (1392-1910), the only woman with the power to order a manhunt for a murderer is the Queen. So Kang Eun Bo resolves to win the prized royal title so she can one day avenge her sister’s death.To do so, however, she must first win the heart of Joseon King Lee Kyung. Lee Kyung grew up in a time of great political unrest and is less interested in matters of the heart – and more concerned with bringing peace to the realm.Kang Eun Bo soon discovers that winning the king’s favor will not be easy; the royal court is also inundated with beautiful young women, many of whom hope to wed the king.But when the king suddenly realizes that he recognizes Kang Eun Bo from a dream, the two begin to form an unlikely bond.Will Kang Eun Bo ever find her twin’s killer? And could love bloom between the streetwise Kang Eun Bo and the idealistic king?(Source: Viki)","['Do Sang Woo', 'Kim Min Gue', 'Lee Si Eon', 'Lee Yeol Eum', 'Jin Se Yeon']",간택 - 여인들의 전쟁
655,Crash Landing on You,Netflix tvN,['Lee Jeong Hyo'],['Park Ji Eun'],2019-12-14,2020-02-16,"Sunday, Saturday",2019,16,319.0,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.(Source: queen of repressed rage at MyDramaList) ","['Seo Ji Hye', 'Kim Jung Hyun', 'Son Ye Jin', 'Hyun Bin']",사랑의 불시착
656,Hot Stove League,SBS,['Jung Dong Yoon'],['Lee Shin Hwa'],2019-12-13,2020-02-14,"Friday, Saturday",2019,16,232.0,"About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.Se Young is the youngest head of the management team of Dreams, a cellar-dwelling baseball team. She's highly recognized for her perseverance and intense passion for the team. One day, Seung Su is appointed as a general manager. Although he's been working in the sports field, the teams he led to the championship were unpopular, and some of them were even disbanded after winning the league due to the financial difficulties of their parent companies. Would this unlucky new general manager be able to steer Dreams to the championship with passionate Se Young?Han Jae Hee, an energetic man,  who is the grandson of a furniture maker. Kim Young Chae,  who is a softball player turned sports announcer. Yoo Min Ho, a pitcher, who is crazy about baseball.(Source: Viu, AsianWiki & Soompi)","['Oh Jung Se', 'Namkoong Min', 'Park Eun Bin', 'Cho Byeong Kyu']",스토브리그
657,Miracle Girl,Naver TV Cast vLive,,,2019-12-09,2019-12-25,"Monday, Wednesday",2019,6,100.0,"When the Snow Queen takes Nam Ji Seob with her so that he can be the ice prince, the only way Seo Ga Eun, Nam Ji Seob's childhood friend and a webtoon writer in seclusion, can save him is by finding 7 memories in time. It's just like finding 7 pieces of the puzzle. So with the help of the doll knight, she tries to save Ji Seob. In this adventure, Ga Eun encounters Fairies, Yeti, Snow Queen and many interesting Korean retro characters.","['Choi Moon Hee', 'Yoo Jun', 'Kang Yul']",기적소녀
658,4 Reasons Why I Hate Christmas,Naver TV Cast vLive,['Yoo Hee Woon'],['Bang Yoo Jung'],2019-12-07,2019-12-25,"Wednesday, Saturday",2019,6,160.0,A web-drama about 4 young adults who hate Christmas who meet by chance and spend the month of December together. They unexpectedly become a part of each others lives as Christmas nears. ,"['Moon Sang Min', 'Park Shi An', 'Jin Ye Ju', 'Jung Hwi Young']",크리스마스가 싫은 네 가지 이유
