Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
831,Moonlight Girls' High School,,,,2018-12-27,2019-01-08,,2018,6,40.0,,['Kim Na Yeon'],달빛여고
832,Calm Down,Channel A,,,2018-12-24,2018-12-31,,2018,6,120.0,A touching humanistic story about the National Human Rights Commission of Korea investigators working hard to protect human rights against discrimination that has permeated society. It seeks to educate the public about the role of NHRC and its investigators.(Source: MyDramaList) ,"['Go Won Hee', 'Lee Joo Seung']",진정하세요
833,Mysterious Nurse,SBS,,,"Dec 21, 2018","Dec 21, 2018",Friday,2018,6,180.0,A fantasy romance about a woman who can see the death in people due to an accident and a psychiatrist who finds real happiness after a downfall in life.,"['Lee Sung Jong', 'Jang Hee Ryung']",갑툭튀 간호사
834,Number Six,KBS1,,,"Dec 21, 2018","Dec 21, 2018",Friday,2018,8,112.0,"Won Tak, Min Joo, Eun Kyung, Chang Kyung, Se Joon, and Se Ra were the best of friends. Inseparable from childhood, they did everything together, sharing every moment of their lives up until the moment they all left for college. Best friends for life, there was nothing this group kept from each other. Or so they thought.Ten years later, the secrets they kept harbored in their hearts come to light, revealing a tangled web of complicated emotions, first loves, and profound friendship. It doesn’t take long to realize even the closest of friends can hide some pretty big secrets.(Source: Viki)","['Bae Woo Hee', 'Kang Yul', 'Han So Eun', 'Lee Min Hyuk', 'Baek Seo Yi', 'Kwon Young Min']",넘버식스
835,Discipline,,['Han Jae Woon'],,2018-12-19,2019-04-11,"Wednesday, Thursday",2018,6,150.0,"A neighborhood in Korea that is nothing out of the ordinary: a truly tranquil small town. In this town, Tae Woo and his best friends do all kinds of things, good and bad. The five of them decide to go to a party hosted by a group of delinquents from the notorious Samdeok High School in an abandoned basement parking lot. They went thinking they would have the time of their lives little did they know of the dangers that were to come.","['Oh Dong Joon', 'Yoon Tae Woo', 'Kim Seung Hwa', 'Choi Tae Yi', 'Lee Won Jun']",디시플린
836,Arim Inn the Forest,,,,2018-12-18,2019-01-22,Tuesday,2018,9,87.0,"Yeon Li lives in a tiny studio in Seoul, struggling to get a job. But she keeps getting failure messages and even fails to pay the rent for a couple of months. Her friend Woo Min joins a company but tries to hide it from Yeon Li, which he fails. Yeon Li gets fed up with her hopeless life in Seoul and decides to head for Geochang.(Source: Kocowa) ","['Ha Jung Min', 'Kim Chi Won', 'Yu Sung']",아림군 아림장
837,My Strange Hero,SBS,"['Park Seon Ho', 'Ham Joon Ho']",['Kim Yoon Young'],2018-12-10,2019-02-04,"Monday, Tuesday",2018,32,66.0,"When Kang Bok Soo was a high school student, he was falsely accused of committing acts of violence and ended up expelled from school. Those who brought the accusations against him were his first love, Son Soo Jung, and a fellow student Oh Se Ho.Kang Bok Soo has now become an adult, but in his life nothing seems to go right for him. To get revenge on Son Soo Jung and Oh Se Ho, he decides to return to the same high school. There Kang Bok Soo gets involved in a series of unexpected cases. (Source: KoreanDrama.org)","['Kwak Dong Yeon', 'Jo Bo Ah', 'Yoo Seung Ho']",복수가 돌아왔다
838,When Life Gives You Lemons,,,,2018-12-04,2019-01-08,,2018,6,50.0,"A-very-short and comedic web drama about a guy who has terrible luck, and the hilarious trials and tribulations he faces. ",,Comedy
839,The Sound of Your Heart: Reboot Season 2,Netflix,,['Park Yeon Kyung'],"Dec  3, 2018","Dec  3, 2018","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2018,10,210.0,"Adapted from the webcomic ""Maeumui Sori” by Jo Suk. ","['Kwon Yu Ri', 'Sung Hoon']",마음의 소리 리부트 2
840,Just Dance,KBS2,['Park Hyun Suk'],['Kwon Hye Ji'],2018-12-03,2018-12-25,"Monday, Tuesday",2018,16,112.0,"“Dance Sports Girls” is based on the documentary of the same name and  will tell the story of girls in Geoje Girl’s Vocational High School, who dream different dreams while preparing to get a job in a shipyard where restructuring recently started. Although their grades are low, their efforts in trying be better dancers are unlimited.","['Park Se Wan', 'Jang Dong Yoon']",땐뽀걸즈
