Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
141,Blind,,,,2017,2017,,2017,7,26.0,"This web drama is based on real-life stories submitted by Korean college students, telling all-too-relatable tales of loneliness, friendship, and budding romance. ",,블라인드
1003,A Korean Odyssey,Netflix tvN,"['Park Hong Kyun', 'Kim Jung Hyun', 'Kim Byung Soo']","['Hong Jung Eun', 'Hong Mi Ran']",2017-12-23,2018-03-04,"Saturday, Sunday",2017,20,240.0,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other as they look for a true light in a dark world where evil thrives. Having made a contract with Seon Mi 25 years ago, entitling her to seek help from Son Oh Gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago.(Source: Wikipedia) ~~ Adapted from the classic Chinese novel “Journey to the West,” but reinterprets the story into the present day and has a romantic-fantasy twist.","['Lee Seung Gi', 'Jang Gwang', 'Oh Yeon Seo', 'Cha Seung Won', 'Lee Hong Ki']",화유기
1004,Bad Guys: City of Evil,OCN,['Han Dong Hwa'],['Han Jung Hoon'],2017-12-16,2018-02-04,"Saturday, Sunday",2017,16,244.0,"Using bad guys to catch bad guys, a prosecutor recruits a team of criminals in order to crush a corrupted organization with extreme measures.(Source: tvN Asia) ","['Joo Jin Mo', 'Kim Mu Yeol', 'Kim Ji Soo', 'Yang Ik Jun', 'Park Joong Hoon']",나쁜 녀석들: 악의 도시
1005,Someday,,,,2017-12-12,2018-02-06,Tuesday,2017,10,72.0,"A web drama about the all-too-relatable woes and wonders of love - unrequited, forbidden, and otherwise. ",,썸데이
1006,Just Between Lovers,jTBC,['Kim Jin Won'],['Yoo Bo Ra'],2017-12-11,2018-01-30,"Monday, Tuesday",2017,16,274.0,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever. When he was 15, Lee Gang Doo dreamt of playing for the Korean national soccer team, but the serious injury he incurred destroyed those dreams. In the years following, Gang Doo spends his days fighting through physical and emotional pain, as he struggles to support his sister pay back a hefty debt and live frugally. When she was 15, Ha Moon Soo lived through the accident but is still plagued by nightmares years later. She lives above the women’s bathhouse that her mother runs. She specializes in creating architectural models that are key safety elements in any major building planning processes.Some years later a construction project is due to kick-off at the accident site. It brings back painful memories for Gang Doo, Moon Soo, and all those connected to the tragedy.  While some oppose the project, others become involved in the construction process. As these people cross paths, they help each other to face their trauma and overcome their pain. Together they move forward and find a new will to live and embrace the future.(Source: MyDramaList)","['Lee Jun Ho', 'Won Jin Ah', 'Kang Han Na', 'Lee Ki Woo']",그냥 사랑하는 사이
1007,The Best Moment To Quit Your Job,Oksusu,,,2017-12-09,2018-01-27,"Saturday, Sunday",2017,8,338.0,"Four young women tackle life, love, and lies in their first jobs out of college. Good thing they have each other – and late-night bars – to get through it all. ","['Lee Chung Ah', 'Go Won Hee', 'Kim Ji Eun', 'Jung Yeon Joo', 'Jei']",회사를 관두는 최고의 순간
1008,Oh My Grace,,,,"Dec  8, 2017","Dec  8, 2017",,2017,7,69.0,"Feeling like the epitome of failure, recent college graduate Grace (Grace Subervi) drunkenly stumbles her way through New York City, making her way to, and eventually into, the Hudson River. Upon awakening, she finds herself in another world — or rather, another country: South Korea.Her troubles only worsen when she literally bumps into Kyung Hwan, a wealthy boutique owner with little patience to spare. Through Kyung Hwan, she meets aspiring K-pop idol, David, where all three come to terms with what it means to pursue their dreams. DramaFever’s first ever original drama series!","['Kim Kyung Hwan', 'Grace Subervi']",오 마이 그레이스
1009,Black Knight: The Man Who Guards Me,KBS2,['Han Sang Woo'],['Kim In Young'],2017-12-06,2018-02-08,"Wednesday, Thursday",2017,20,195.0,"“Black Knight” is a love story between a woman who is waiting for the love of her life and a man who is willing to do anything to protect his love. The story spans over two hundred years. Moon Soo Ho is a businessman with a pure heart, but he never shows his true colors to anyone except for Jung Hae Ra, a travel agent who has never traveled abroad. Soo Ho and Hae Ra grew up like siblings in Hae Ra's house, but they got separated later. They meet each other after they grow up and love approaches them as if it were fate. Will their love survive despite all the faltering events?(Source: Viki)","['Seo Ji Hye', 'Kim Rae Won', 'Shin Se Kyung', 'Jang Mi Hee']",흑기사
1010,I'm Not a Robot,MBC,['Jeong Dae Yun'],['Kim Sun Mi'],2017-12-06,2018-01-25,"Wednesday, Thursday",2017,32,66.0,"Kim Min Kyu is the largest shareholder of a financial company. He suffers from a ""human allergy"", preventing him from normal interactions with other people. He becomes interested in a robotic project named Aji-3 created by the Santa Maria robotic team. The team is headed by Hong Baek Gyun, inventor of Aji-3 and world-renowned robotics professor. He modeled Aji-3 after his ex-girlfriend, Jo Ji Ah, a struggling inventor that also works as a personal shopper to make ends meet. Just when Kim Min Kyu wants to test the robot, an accident causes the malfunction of the robot's battery. Hong Baek Gyun begs Jo Ji Ah to take the place of Aji-3 and pretend to be the robot so they can get funding from Kim Min Kyu. But, Aji-3 becomes the closest thing that the lonely Min Kyu has to real contact with another person.(Source: MyDramaList)","['Chae Soo Bin', 'Uhm Ki Joon', 'Yoo Seung Ho']",로봇이 아니야
1011,Smashing on Your Back,TV Chosun,"['Lee Kwang Jae', 'Kim Jung Shik']","['Lee Young Chul', 'Kim Hyung Min']",2017-12-04,2018-03-01,"Monday, Tuesday, Wednesday, Thursday",2017,50,36.0,"A sitcom about a family that’s struggling to survive, living with the in-laws, and dreaming of getting back up on their feet.(Source: MyDramaList) ","['Park Young Gyu', 'Park Hae Mi', 'Kwon Oh Jung']",너의 등짝에 스매싱
1012,Happy Sisters,SBS,"['Lee Jung Hoon', 'Ko Heung Sik']",,2017-12-04,2018-05-25,"Monday, Tuesday, Wednesday, Thursday, Friday",2017,120,18.0,"Yoon Ye Eun's husband of 7 years has a profitable business and they move into a new house. Then, she finds out about his affair. Her sister Yoon Sang Eun is in debt and runs a piano institute. She meets someone through a matchmaking agency and considers entering a contract marriage to pay off her debts.(Source: SBS International) ","['Lee Shi Kang', 'Shim Yi Young', 'Han Young', 'Oh Dae Gyu', 'Kang Seo Joon', 'Ban So Young']",해피 시스터즈
